Orthogroup	s_cerevisiae_proteins	n_castellii_proteins
OG0001491	rna5967	rna2664
OG0001492	rna5966	rna2666
OG0001493	rna5627	rna1760
OG0001494	rna5628	rna1759
OG0001495	rna5964	rna2668
OG0001496	rna5633	rna1725
OG0001497	rna5634	rna1726
OG0001498	rna5640	rna1731
OG0001499	rna5641	rna1732
OG0001500	rna5955	rna2677
OG0001501	rna5648	rna1740
OG0001502	rna1860	rna2935
OG0001503	rna1852	rna2930
OG0001504	rna1851	rna2929
OG0001505	rna2722	rna3192
OG0001506	rna4988	rna4712
OG0001507	rna2727	rna3188
OG0001508	rna4983	rna4707
OG0001509	rna2728	rna3187
OG0001510	rna4982	rna4706
OG0001511	rna4979	rna4703
OG0001512	rna4977	rna4701
OG0001513	rna738	rna3184
OG0001514	rna4976	rna4700
OG0001515	rna4974	rna4698
OG0001516	rna4973	rna4691
OG0001517	rna737	rna3182
OG0001518	rna4970	rna4689
OG0001519	rna735	rna3180
OG0001520	rna734	rna3179
OG0001521	rna2777	rna2547
OG0001522	rna4672	rna3552
OG0001523	rna5854	rna4627
OG0001524	rna5855	rna4628
OG0001525	rna6172	rna5400
OG0001526	rna352	rna1178, rna5403
OG0001527	rna351	rna5404
OG0001528	rna4132	rna3451
OG0001529	rna3256	rna4303
OG0001530	rna3237	rna4305
OG0001531	rna3236	rna133
OG0001532	rna3258	rna4307
OG0001533	rna3234	rna132
OG0001534	rna3279	rna3332
OG0001535	rna3829	rna135
OG0001536	rna3266	rna3445
OG0001537	rna3828	rna109
OG0001538	rna4649	rna3240
OG0001539	rna842	rna2199
OG0001540	rna841	rna2200
OG0001541	rna840	rna2201
OG0001542	rna4655	rna3234
OG0001543	rna4362	rna1603
OG0001544	rna4363	rna2539
OG0001545	rna4364	rna2538
OG0001546	rna4365	rna2537
OG0001547	rna4367	rna1605
OG0001548	rna4331	rna1608
OG0001549	rna4332	rna1609
OG0001550	rna4312	rna4970
OG0001551	rna1605	rna1568
OG0001552	rna3389	rna4974
OG0001553	rna1603	rna1564
OG0001554	rna3385	rna4977
OG0001555	rna1602	rna1563
OG0001556	rna1601	rna4978
OG0001557	rna3384	rna4979
OG0001558	rna3372	rna4981
OG0001559	rna1600	rna1562
OG0001560	rna1849	rna5680
OG0001561	rna4480	rna1323
OG0001562	rna4488	rna1324
OG0001563	rna1936	rna4505
OG0001564	rna1935	rna4503
OG0001565	rna1954	rna3675
OG0001566	rna1952	rna4504, rna3673
OG0001567	rna1934	rna4502
OG0001568	rna1957	rna3677
OG0001569	rna6045	rna2757
OG0001570	rna6046	rna2758
OG0001571	rna6047	rna2759
OG0001572	rna6048	rna2760
OG0001573	rna6050	rna2762
OG0001574	rna6051	rna2763
OG0001575	rna6059	rna1845, rna2768
OG0001576	rna6061	rna2770
OG0001577	rna6062	rna2771
OG0001578	rna6063	rna2772
OG0001579	rna1194	rna1846
OG0001580	rna1191	rna1848
OG0001581	rna6067	rna2775
OG0001582	rna6068	rna2776
OG0001583	rna4055	rna1482
OG0001584	rna4057	rna3955
OG0001585	rna4058	rna3956
OG0001586	rna781	rna1480
OG0001587	rna782	rna1479
OG0001588	rna784	rna1476
OG0001589	rna4680	rna3587
OG0001590	rna5849	rna4623
OG0001591	rna5851	rna4625
OG0001592	rna2656	rna5107
OG0001593	rna2658	rna5118
OG0001594	rna1276	rna4391
OG0001595	rna1277	rna4392
OG0001596	rna1278	rna4393
OG0001597	rna2661	rna5121
OG0001598	rna2998	rna1381
OG0001599	rna1586	rna5385
OG0001600	rna1582	rna1378
OG0001601	rna1581	rna5388
OG0001602	rna6171	rna5401
OG0001603	rna1580	rna5389
OG0001604	rna1577	rna790
OG0001605	rna2994	rna788
OG0001606	rna1574	rna5391
OG0001607	rna2986	rna5328
OG0001608	rna5831	rna3881
OG0001609	rna2982	rna4168
OG0001610	rna5830	rna3880
OG0001611	rna5424	rna3879
OG0001612	rna5380	rna5374
OG0001613	rna4475	rna4187
OG0001614	rna6192	rna1195
OG0001615	rna2298	rna3781
OG0001616	rna6196	rna1199
OG0001617	rna2299	rna3780
OG0001618	rna6198	rna1201
OG0001619	rna2303	rna3776
OG0001620	rna6199	rna1203
OG0001621	rna2306	rna3773
OG0001622	rna2307	rna3772
OG0001623	rna2308	rna3771
OG0001624	rna2309	rna3770
OG0001625	rna2311	rna3768
OG0001626	rna6204	rna1209
OG0001627	rna476	rna1297
OG0001628	rna3005	rna1298
OG0001629	rna478	rna3866
OG0001630	rna3006	rna3863
OG0001631	rna481	rna3862
OG0001632	rna2973	rna1302
OG0001633	rna1909	rna3861
OG0001634	rna1910	rna3860
OG0001635	rna1913	rna3858
OG0001636	rna1916	rna3855
OG0001637	rna2971	rna3853
OG0001638	rna2970	rna1305
OG0001639	rna2969	rna3851
OG0001640	rna2968	rna1306
OG0001641	rna2344	rna4456, rna3741
OG0001642	rna2346	rna3739
OG0001643	rna3953	rna2861
OG0001644	rna3954	rna2860
OG0001645	rna3955	rna2859
OG0001646	rna1093	rna1959
OG0001647	rna1096	rna1962
OG0001648	rna1100	rna1937
OG0001649	rna1101	rna1936
OG0001650	rna3964	rna2852
OG0001651	rna1103	rna1934
OG0001652	rna1104	rna1933
OG0001653	rna3967	rna2849
OG0001654	rna1106	rna1931
OG0001655	rna3971	rna2845
OG0001656	rna1107	rna1930
OG0001657	rna3974	rna2842
OG0001658	rna1109	rna1928
OG0001659	rna1110	rna1927
OG0001660	rna3976	rna2840
OG0001661	rna3978	rna2837
OG0001662	rna1118	rna1916
OG0001663	rna1117	rna1917
OG0001664	rna1120	rna1914
OG0001665	rna1121	rna1912
OG0001666	rna1126	rna1907
OG0001667	rna1128	rna1905
OG0001668	rna4027	rna2818
OG0001669	rna1130	rna1904
OG0001670	rna4101	rna2815
OG0001671	rna4100	rna2814
OG0001672	rna4099	rna2813
OG0001673	rna1136	rna2810
OG0001674	rna1137	rna1901
OG0001675	rna4098	rna2809
OG0001676	rna4097	rna2808
OG0001677	rna4096	rna2807
OG0001678	rna1139	rna1899
OG0001679	rna1142	rna1897
OG0001680	rna1144	rna1895
OG0001681	rna4094	rna2805
OG0001682	rna1148	rna1892
OG0001683	rna4955	rna4669
OG0001684	rna4951	rna4666
OG0001685	rna4946	rna4660
OG0001686	rna4945	rna4659
OG0001687	rna4943	rna3161
OG0001688	rna718	rna3160
OG0001689	rna4940	rna4653
OG0001690	rna716	rna3158
OG0001691	rna4939	rna4652
OG0001692	rna4937	rna4650
OG0001693	rna714	rna3156
OG0001694	rna4935	rna4648
OG0001695	rna4934	rna4647
OG0001696	rna4932	rna3155, rna4645
OG0001697	rna4931	rna4644
OG0001698	rna4929	rna4642
OG0001699	rna4927	rna4640
OG0001700	rna4922	rna78
OG0001701	rna4919	rna76
OG0001702	rna712	rna3154
OG0001703	rna4918	rna75
OG0001704	rna3785	rna3139, rna302
OG0001705	rna2533	rna3138
OG0001706	rna3787	rna3137
OG0001707	rna2534	rna3136
OG0001708	rna3789	rna3135
OG0001709	rna3793	rna296
OG0001710	rna3795	rna294
OG0001711	rna1755	rna386
OG0001712	rna1021	rna2018
OG0001713	rna4237	rna5767
OG0001714	rna4235	rna5766
OG0001715	rna893	rna235
OG0001716	rna849	rna2190
OG0001717	rna4637	rna3251
OG0001718	rna4639	rna3249
OG0001719	rna846	rna2193
OG0001720	rna844	rna2195
OG0001721	rna4645	rna3244
OG0001722	rna5259	rna2968
OG0001723	rna5261	rna3791
OG0001724	rna5262	rna2973
OG0001725	rna5263	rna2972
OG0001726	rna5264	rna2971
OG0001727	rna4830	rna2970
OG0001728	rna4831	rna3792
OG0001729	rna5265	rna2969
OG0001730	rna4835	rna3796
OG0001731	rna1326	rna4443
OG0001732	rna5538	rna5157
OG0001733	rna1327	rna4444
OG0001734	rna5539	rna5158
OG0001735	rna5540	rna5160
OG0001736	rna1331	rna1231
OG0001737	rna1333	rna1233
OG0001738	rna1335	rna1234
OG0001739	rna5542	rna5162
OG0001740	rna1339	rna1239, rna5165
OG0001741	rna5547	rna5170
OG0001742	rna1343	rna1242
OG0001743	rna1345	rna1244
OG0001744	rna1347	rna1246
OG0001745	rna5550	rna5173
OG0001746	rna5554	rna5177
OG0001747	rna5555	rna5178
OG0001748	rna1350	rna1248
OG0001749	rna5560	rna5181
OG0001750	rna1423	rna813
OG0001751	rna2584	rna4597
OG0001752	rna2582	rna4599
OG0001753	rna1420	rna815
OG0001754	rna1419	rna816
OG0001755	rna1418	rna817
OG0001756	rna2580	rna4601
OG0001757	rna2579	rna4602
OG0001758	rna1416	rna833
OG0001759	rna2577	rna4603
OG0001760	rna1415	rna832
OG0001761	rna2354	rna4465
OG0001762	rna2349	rna3736
OG0001763	rna6240	rna4459
OG0001764	rna2959	rna1390
OG0001765	rna1627	rna3842
OG0001766	rna2958	rna1391
OG0001767	rna1630	rna3839
OG0001768	rna2953	rna1397
OG0001769	rna1632	rna3962
OG0001770	rna1634	rna3961
OG0001771	rna1635	rna3960
OG0001772	rna2951	rna1400
OG0001773	rna1636	rna3959
OG0001774	rna2339	rna3757
OG0001775	rna6270	rna4960, rna1579
OG0001776	rna6271	rna1580
OG0001777	rna6272	rna1581
OG0001778	rna4319	rna1586
OG0001779	rna4252	rna5784
OG0001780	rna879	rna248
OG0001781	rna881	rna246
OG0001782	rna4248	rna5780
OG0001783	rna883	rna5778
OG0001784	rna4242	rna5773
OG0001785	rna885	rna243
OG0001786	rna4241	rna5772
OG0001787	rna4240	rna5771
OG0001788	rna4239	rna5770
OG0001789	rna4238	rna5769
OG0001790	rna888	rna241, rna5768
OG0001791	rna3369	rna4993
OG0001792	rna3381	rna4990
OG0001793	rna163	rna1559
OG0001794	rna3379	rna4989
OG0001795	rna3357	rna5003
OG0001796	rna3354	rna5006
OG0001797	rna6132	rna1544
OG0001798	rna3352	rna1543
OG0001799	rna6131	rna1542
OG0001800	rna6130	rna5008, rna1541
OG0001801	rna3350	rna3976
OG0001802	rna3349	rna3974
OG0001803	rna6128	rna1540
OG0001804	rna6127	rna1539
OG0001805	rna109	rna3967
OG0001806	rna111	rna3965
OG0001807	rna112	rna1535, rna3964
OG0001808	rna6121	rna1534
OG0001809	rna117	rna3908
OG0001810	rna6116	rna1530
OG0001811	rna1716	rna1527
OG0001812	rna121	rna3911
OG0001813	rna1714	rna1525
OG0001814	rna124	rna1524
OG0001815	rna125	rna1523
OG0001816	rna127	rna3914
OG0001817	rna1710	rna1520
OG0001818	rna5272	rna2985
OG0001819	rna5273	rna2986
OG0001820	rna4842	rna3801
OG0001821	rna4843	rna3802
OG0001822	rna4845	rna2987
OG0001823	rna4848	rna1048
OG0001824	rna4850	rna1045
OG0001825	rna5277	rna2991
OG0001826	rna4852	rna1043
OG0001827	rna4853	rna1041
OG0001828	rna5281	rna2996
OG0001829	rna3593	rna5243
OG0001830	rna4501	rna1335
OG0001831	rna4499	rna1333
OG0001832	rna4497	rna1331
OG0001833	rna3606	rna5242
OG0001834	rna4496	rna1329
OG0001835	rna5077	rna4796
OG0001836	rna3033	rna892
OG0001837	rna3632	rna5307
OG0001838	rna3628	rna5311
OG0001839	rna5132	rna4753
OG0001840	rna2903	rna2227
OG0001841	rna2902	rna2228
OG0001842	rna5135	rna4892
OG0001843	rna2900	rna2229
OG0001844	rna5137	rna4895
OG0001845	rna2899	rna2230
OG0001846	rna5138	rna4896
OG0001847	rna5139	rna4897
OG0001848	rna5122	rna4906
OG0001849	rna5116	rna4907
OG0001850	rna2896	rna2233
OG0001851	rna2895	rna2234
OG0001852	rna5126	rna4885
OG0001853	rna2907	rna2225
OG0001854	rna2910	rna2220
OG0001855	rna825	rna2217, rna4884
OG0001856	rna2051	rna3220
OG0001857	rna2053	rna3222
OG0001858	rna2055	rna3224
OG0001859	rna829	rna2205
OG0001860	rna2056	rna3225
OG0001861	rna830	rna2206
OG0001862	rna835	rna3227
OG0001863	rna1424	rna830
OG0001864	rna5437	rna4592
OG0001865	rna3836	rna140
OG0001866	rna3835	rna3450
OG0001867	rna3269	rna3442
OG0001868	rna3832	rna3448
OG0001870	rna2417	rna736
OG0001871	rna2416	rna734
OG0001872	rna3275	rna3336
OG0001873	rna3365	rna4996
OG0001874	rna3366	rna4995
OG0001875	rna1750	rna390
OG0001876	rna1748	rna392
OG0001877	rna1016	rna2022
OG0001878	rna1013	rna2027
OG0001879	rna1745	rna395
OG0001880	rna1743	rna2170
OG0001881	rna190	rna2165
OG0001882	rna191	rna2164
OG0001883	rna192	rna2163
OG0001884	rna197	rna2158
OG0001885	rna2179	rna3096
OG0001886	rna2178	rna169
OG0001887	rna2365	rna3099
OG0001888	rna2364	rna3100
OG0001889	rna2362	rna3102
OG0001890	rna4762	rna2572
OG0001891	rna4758	rna2577
OG0001892	rna4756	rna2579
OG0001893	rna4754	rna2580
OG0001894	rna324	rna5434
OG0001895	rna2603	rna685
OG0001896	rna2602	rna686
OG0001897	rna2601	rna687
OG0001898	rna2600	rna688
OG0001899	rna3225	rna123
OG0001900	rna3501	rna4335
OG0001901	rna604	rna887
OG0001902	rna3944	rna2869
OG0001903	rna3515	rna427
OG0001904	rna3517	rna429
OG0001905	rna184	rna1129
OG0001906	rna306	rna1127, rna5451
OG0001907	rna1005	rna5452
OG0001908	rna1000	rna1122
OG0001909	rna2647	rna5116
OG0001910	rna2648	rna5115
OG0001911	rna1264	rna4382
OG0001912	rna2649	rna5114
OG0001913	rna2650	rna5113
OG0001914	rna6041	rna2754
OG0001915	rna1431	rna1837
OG0001916	rna1959	rna3678
OG0001917	rna3749	rna322
OG0001918	rna2844	rna4532
OG0001919	rna2845	rna4533
OG0001920	rna2846	rna4534
OG0001921	rna3748	rna323
OG0001922	rna4864	rna1029
OG0001923	rna4865	rna1028
OG0001924	rna4869	rna1023
OG0001925	rna4870	rna1022
OG0001926	rna897	rna5538
OG0001927	rna5337	rna2122
OG0001928	rna899	rna5536
OG0001929	rna6114	rna2050
OG0001930	rna1720	rna2054
OG0001931	rna1721	rna2055
OG0001932	rna1722	rna2056
OG0001933	rna3255	rna4324
OG0001934	rna3509	rna4326
OG0001935	rna3508	rna4327
OG0001936	rna3506	rna4329
OG0001937	rna1878	rna3038
OG0001938	rna6094	rna2081
OG0001939	rna1875	rna2072
OG0001940	rna1873	rna2070
OG0001941	rna6088	rna2077
OG0001942	rna1870	rna2078
OG0001943	rna1869	rna5687
OG0001944	rna6087	rna5689
OG0001946	rna2062	rna3233
OG0001947	rna2061	rna3214
OG0001948	rna3141	rna1001
OG0001949	rna3137	rna1004
OG0001950	rna3135	rna1006
OG0001951	rna3134	rna2411
OG0001952	rna3133	rna1007
OG0001953	rna3132	rna1008
OG0001954	rna3131	rna1009
OG0001955	rna3127	rna1013
OG0001956	rna3706	rna2418
OG0001957	rna2460	rna4139, rna3300
OG0001958	rna2459	rna4140
OG0001959	rna2455	rna4145
OG0001960	rna2453	rna4147
OG0001961	rna2452	rna4148
OG0001962	rna2449	rna4152
OG0001963	rna2732	rna3307
OG0001964	rna2731	rna3308
OG0001965	rna2444	rna765
OG0001966	rna2443	rna764
OG0001967	rna2441	rna763
OG0001968	rna2440	rna762
OG0001969	rna2439	rna761
OG0001970	rna2435	rna757
OG0001971	rna2434	rna755
OG0001972	rna2432	rna753
OG0001973	rna2431	rna752
OG0001974	rna2429	rna749
OG0001975	rna2425	rna3326
OG0001976	rna1280	rna4395
OG0001977	rna1283	rna4398
OG0001978	rna1284	rna4399
OG0001979	rna220	rna3813
OG0001980	rna219	rna5514
OG0001981	rna218	rna3803
OG0001982	rna940	rna1051
OG0001983	rna939	rna1050
OG0001984	rna213	rna5394
OG0001985	rna945	rna5512
OG0001986	rna223	rna3810
OG0001987	rna947	rna3809, rna5510
OG0001988	rna227	rna3805
OG0001989	rna930	rna5509
OG0001990	rna233	rna366, rna3826
OG0001991	rna5333	rna5545
OG0001992	rna5332	rna2132
OG0001993	rna5330	rna2134
OG0001994	rna5072	rna4791
OG0001995	rna5073	rna4792
OG0001996	rna3635	rna5301
OG0001997	rna3025	rna3048
OG0001998	rna3637	rna5299
OG0001999	rna3639	rna5297
OG0002000	rna3641	rna3050
OG0002001	rna3642	rna5295
OG0002002	rna3643	rna3053
OG0002003	rna3021	rna5290
OG0002005	rna3624	rna490
OG0002006	rna3625	rna491
OG0002007	rna3626	rna492
OG0002008	rna513	rna494
OG0002009	rna512	rna495
OG0002010	rna2109	rna5052
OG0002011	rna2110	rna3524
OG0002012	rna5909	rna5050
OG0002013	rna2111	rna3525
OG0002014	rna2113	rna3527
OG0002015	rna5904	rna5043
OG0002016	rna2118	rna3531
OG0002017	rna2119	rna3532
OG0002018	rna2121	rna3533
OG0002019	rna5901	rna5038
OG0002020	rna2124	rna3536
OG0002021	rna5896	rna106
OG0002022	rna5895	rna105
OG0002023	rna4053	rna3952
OG0002024	rna4051	rna3950
OG0002025	rna777	rna1484
OG0002026	rna4049	rna3948
OG0002027	rna1680	rna1488
OG0002028	rna1681	rna1490
OG0002029	rna159	rna3944
OG0002030	rna157	rna3942
OG0002031	rna1685	rna1495
OG0002032	rna155	rna3939
OG0002033	rna1686	rna1496
OG0002034	rna151	rna3935
OG0002035	rna1691	rna1501
OG0002036	rna139	rna1508
OG0002037	rna137	rna3926
OG0002038	rna136	rna3925
OG0002039	rna134	rna3923
OG0002040	rna1703	rna1512
OG0002041	rna132	rna3920
OG0002042	rna1704	rna1514
OG0002043	rna1706	rna1516
OG0002044	rna131	rna3918
OG0002045	rna129	rna3916
OG0002046	rna5269	rna2981
OG0002047	rna4839	rna3799
OG0002048	rna4838	rna3798
OG0002049	rna5267	rna2977
OG0002050	rna1317	rna4436
OG0002051	rna5531	rna5150
OG0002052	rna2694	rna4429
OG0002053	rna1311	rna4426
OG0002054	rna1310	rna4425
OG0002055	rna495	rna2352
OG0002056	rna1306	rna4421
OG0002057	rna2689	rna5145
OG0002058	rna5453	rna4577
OG0002059	rna1219	rna3074
OG0002060	rna5455	rna4575
OG0002061	rna5456	rna4574
OG0002062	rna4623	rna3269
OG0002063	rna1534	rna4933
OG0002064	rna1535	rna4932
OG0002065	rna1536	rna4931
OG0002066	rna1541	rna4927
OG0002067	rna1546	rna854
OG0002068	rna3303	rna4923
OG0002069	rna3302	rna855
OG0002070	rna3301	rna856
OG0002071	rna1547	rna857
OG0002072	rna1549	rna4922
OG0002073	rna3297	rna863
OG0002074	rna3296	rna864
OG0002075	rna1552	rna4919
OG0002076	rna1553	rna4918
OG0002077	rna5003	rna2318
OG0002078	rna2712	rna4725, rna2323
OG0002079	rna2487	rna4072
OG0002080	rna427	rna1819
OG0002081	rna6028	rna2742
OG0002082	rna6026	rna2740
OG0002083	rna5011	rna4719
OG0002084	rna425	rna1817
OG0002085	rna6019	rna2732
OG0002086	rna6016	rna2729
OG0002087	rna415	rna1810
OG0002088	rna412	rna1807
OG0002089	rna6012, rna409	rna1804, rna2725
OG0002090	rna6010	rna1801
OG0002091	rna6009	rna1800
OG0002092	rna6008	rna2722
OG0002093	rna6007	rna1797
OG0002094	rna6002	rna2717
OG0002095	rna6000	rna1792
OG0002096	rna5999	rna2715
OG0002097	rna398	rna1791
OG0002098	rna5997	rna2714
OG0002099	rna5995	rna1787
OG0002100	rna5994	rna1786
OG0002101	rna5991	rna1785
OG0002102	rna396	rna1784
OG0002103	rna5989	rna2710
OG0002104	rna394	rna1782
OG0002105	rna392	rna1780
OG0002106	rna391	rna1779
OG0002107	rna5986	rna2707
OG0002108	rna389	rna1777
OG0002109	rna3031	rna3653
OG0002110	rna387	rna1775
OG0002111	rna5614	rna2698
OG0002112	rna5978	rna2697
OG0002113	rna5616	rna1770
OG0002114	rna5618	rna1768
OG0002115	rna5976	rna2694
OG0002116	rna5619	rna1767
OG0002117	rna5624	rna1762
OG0002118	rna5623	rna1763
OG0002119	rna5972	rna2691
OG0002120	rna3211	rna941
OG0002121	rna3206	rna946
OG0002122	rna3205	rna947
OG0002123	rna3200	rna952
OG0002124	rna3199	rna953
OG0002125	rna493	rna2354
OG0002126	rna492	rna2355
OG0002127	rna3197	rna955
OG0002128	rna491	rna2356
OG0002129	rna490	rna2357
OG0002130	rna3195	rna2359
OG0002131	rna502	rna2363
OG0002132	rna3191	rna959
OG0002133	rna505	rna2366
OG0002134	rna486	rna2344
OG0002135	rna482	rna939
OG0002136	rna3216	rna938
OG0002137	rna5752	rna3901
OG0002138	rna35	rna4160
OG0002139	rna5748	rna3898
OG0002140	rna5747	rna3897
OG0002141	rna37	rna4193
OG0002142	rna38	rna2115
OG0002143	rna5745	rna4269
OG0002144	rna5319	rna895
OG0002145	rna5321	rna3039
OG0002146	rna4576	rna807
OG0002147	rna3539	rna454
OG0002148	rna3538	rna453, rna4231
OG0002149	rna4806	rna3384
OG0002150	rna2504	rna4088
OG0002151	rna2507	rna4090
OG0002152	rna3376	rna4985
OG0002153	rna5089	rna4809
OG0002154	rna5090	rna4810
OG0002155	rna5091	rna4811
OG0002156	rna5092	rna4812
OG0002157	rna5093	rna4814
OG0002158	rna2872	rna2252
OG0002159	rna2874	rna2250
OG0002160	rna2875	rna2249
OG0002161	rna5101	rna4818
OG0002162	rna2880	rna2245
OG0002163	rna2882	rna2243
OG0002164	rna5106	rna4835
OG0002165	rna5110	rna4832
OG0002166	rna2887	rna2239
OG0002167	rna2888	rna2238
OG0002168	rna5114	rna4913
OG0002169	rna5119	rna4910
OG0002170	rna2893	rna4909
OG0002171	rna5118	rna2235
OG0002172	rna273	rna1096
OG0002173	rna970	rna1091
OG0002174	rna967	rna1089
OG0002175	rna966	rna1088
OG0002176	rna2865	rna2258
OG0002177	rna2862	rna4803
OG0002178	rna2861	rna4521
OG0002179	rna5081	rna4799
OG0002180	rna5080	rna4798
OG0002181	rna5079	rna5526
OG0002182	rna3608	rna477
OG0002183	rna4490	rna478, rna1326
OG0002184	rna3611	rna961, rna479
OG0002185	rna800	rna1460
OG0002186	rna4071	rna4054
OG0002187	rna802	rna1458
OG0002188	rna804	rna1457
OG0002189	rna4072	rna4048
OG0002190	rna755	rna4046
OG0002191	rna757	rna4044
OG0002192	rna760	rna4041
OG0002193	rna810	rna1452
OG0002194	rna764	rna1450
OG0002195	rna766	rna4036
OG0002196	rna814	rna1447
OG0002197	rna768, rna816	rna1445
OG0002198	rna821	rna1442
OG0002199	rna771	rna4022
OG0002200	rna823	rna1440
OG0002201	rna2914	rna1436
OG0002202	rna650	rna3606
OG0002203	rna649	rna3564
OG0002204	rna5177	rna466
OG0002205	rna5176	rna467
OG0002206	rna5174	rna469
OG0002207	rna5172	rna470
OG0002208	rna5171	rna471
OG0002209	rna5170	rna472
OG0002210	rna4463	rna473
OG0002211	rna4695	rna3601
OG0002212	rna4693	rna3599
OG0002213	rna4692	rna3598
OG0002214	rna5167	rna4606
OG0002215	rna5166	rna4607
OG0002216	rna5165	rna4608
OG0002217	rna4689	rna3596
OG0002218	rna472	rna5062
OG0002219	rna2106	rna3519
OG0002220	rna471	rna5063
OG0002221	rna2102	rna5064
OG0002222	rna470	rna5065
OG0002223	rna3036	rna4150
OG0002224	rna2101	rna3512
OG0002225	rna467	rna5067
OG0002226	rna5199	rna555
OG0002227	rna5198	rna554
OG0002228	rna5197	rna553
OG0002229	rna676	rna3647
OG0002230	rna5196	rna552
OG0002231	rna5195	rna3648
OG0002232	rna853	rna2186
OG0002233	rna854	rna2185
OG0002234	rna855	rna2184
OG0002235	rna857	rna2183
OG0002236	rna4632	rna3258
OG0002237	rna1220	rna3075
OG0002238	rna5466	rna4565
OG0002239	rna52	rna4256
OG0002240	rna5362	rna5357
OG0002241	rna55	rna4251
OG0002242	rna57	rna4249
OG0002243	rna5378	rna5367
OG0002244	rna5377	rna5368
OG0002245	rna5376	rna5369
OG0002246	rna61	rna4274
OG0002247	rna62	rna4273
OG0002248	rna5432	rna5371
OG0002249	rna6191	rna1194
OG0002250	rna6189	rna1192
OG0002251	rna6188	rna1191
OG0002252	rna6187	rna1190
OG0002253	rna2290	rna3787
OG0002254	rna6184	rna1187
OG0002255	rna4732	rna2599
OG0002256	rna5722	rna1677
OG0002257	rna4733	rna2597
OG0002258	rna5724	rna1679
OG0002259	rna5727	rna1682
OG0002260	rna4738	rna2593
OG0002261	rna1840	rna2919
OG0002262	rna3885	rna5676
OG0002263	rna3889	rna5673
OG0002264	rna2016	rna2152
OG0002265	rna2012	rna2150
OG0002266	rna1734	rna2174
OG0002267	rna2164	rna186
OG0002268	rna4557	rna543
OG0002269	rna2161	rna594
OG0002270	rna4115	rna5032
OG0002271	rna443	rna5090
OG0002272	rna444	rna5089
OG0002273	rna447	rna5087
OG0002274	rna2078	rna3475
OG0002275	rna450	rna5084
OG0002276	rna451	rna5083
OG0002277	rna2079	rna3487
OG0002278	rna2080	rna3488
OG0002279	rna1996	rna4474
OG0002280	rna1997	rna4470
OG0002281	rna2001	rna3723
OG0002282	rna2004	rna3725
OG0002283	rna4428	rna5239
OG0002284	rna685	rna3637
OG0002285	rna683	rna3639
OG0002286	rna682	rna3641
OG0002287	rna680	rna3643, rna559
OG0002288	rna5201	rna557
OG0002289	rna464	rna5070
OG0002290	rna2097	rna5071
OG0002291	rna2096	rna3507
OG0002292	rna461	rna5074
OG0002293	rna460	rna5075
OG0002294	rna459	rna5076
OG0002295	rna2093	rna3504
OG0002296	rna2092	rna5077
OG0002297	rna458	rna3503
OG0002298	rna2091	rna3501
OG0002299	rna456	rna3498
OG0002300	rna2088	rna3496
OG0002301	rna2087	rna3495
OG0002302	rna2831	rna4519
OG0002303	rna6070	rna5692
OG0002304	rna1439	rna5569
OG0002305	rna5660	rna1755
OG0002306	rna5941	rna2689
OG0002307	rna5659	rna1754
OG0002308	rna5658	rna1753
OG0002309	rna5944	rna2686
OG0002310	rna5947	rna2683
OG0002311	rna3943	rna2870
OG0002312	rna992	rna1112
OG0002313	rna993	rna1113
OG0002314	rna1052	rna1988
OG0002315	rna1785	rna2093
OG0002316	rna1051	rna1989
OG0002317	rna1048	rna1992
OG0002318	rna4106	rna903
OG0002319	rna5149	rna4879
OG0002320	rna586	rna3021
OG0002321	rna5154	rna4944
OG0002322	rna2010	rna2148
OG0002323	rna2008	rna2045, rna2146
OG0002324	rna2006	rna2043
OG0002325	rna188	rna2167
OG0002326	rna189	rna2166
OG0002327	rna1742	rna2171
OG0002328	rna597	rna3044
OG0002329	rna3827	rna108
OG0002330	rna3826	rna567
OG0002331	rna3263	rna144
OG0002332	rna3824	rna145
OG0002333	rna3262	rna3438
OG0002334	rna1164	rna1878
OG0002335	rna1167	rna1875
OG0002336	rna4077	rna2793
OG0002337	rna4075	rna2791, rna1872
OG0002338	rna1172	rna1869
OG0002339	rna1173	rna1868
OG0002340	rna1174	rna1866
OG0002341	rna753	rna2787
OG0002342	rna3550	rna586
OG0002343	rna3546	rna583
OG0002344	rna4568	rna801
OG0002345	rna4570	rna803
OG0002346	rna4571	rna804
OG0002347	rna3541	rna456
OG0002348	rna3154	rna990
OG0002349	rna3679	rna2389
OG0002350	rna3680	rna2388
OG0002351	rna3681	rna2387
OG0002352	rna3682	rna2386
OG0002353	rna3157	rna988
OG0002354	rna3159	rna2385
OG0002355	rna3160	rna986
OG0002356	rna3163	rna983
OG0002357	rna3165	rna981
OG0002358	rna3169	rna977
OG0002359	rna3170	rna976
OG0002360	rna3173	rna993
OG0002361	rna3174	rna973
OG0002362	rna1034	rna2004
OG0002363	rna3246	rna3349
OG0002364	rna2387	rna720
OG0002365	rna937	rna5396
OG0002366	rna1285	rna4401
OG0002367	rna2668	rna4402
OG0002368	rna2669	rna5128
OG0002369	rna2391	rna716
OG0002370	rna2392	rna715
OG0002371	rna2394	rna727
OG0002372	rna2393	rna714
OG0002373	rna3241	rna3356
OG0002374	rna2400	rna706
OG0002375	rna3242	rna3413
